step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,session_step,session_progress_pct
128507,83.25834283620065,0.5294680595397949,58.89422527199882,-1.0,-1.0,1.0,-0.27087033,-60.0,1.0,139785,67067.0,81.868896484375
68607,83.25615487276262,0.5294312238693237,58.89210688207168,-1.0,-1.0,0.75347483,-0.51614124,-20.0,1.0,160000,7167.0,8.748779296875
111241,83.23823107644071,0.5291296243667603,58.87475291508109,-1.0,-1.0,0.2755453,0.9221021,-43.72919857501984,1.0,160000,49801.0,60.79223632812501
135307,83.23201759817377,0.529025137424469,58.8687369257755,-1.0,-0.5397722,-0.5665987,1.0,-27.45787739753723,1.0,160000,73867.0,90.169677734375
129927,83.23059952303444,0.5290012955665588,58.8673639191848,-0.37333894,-1.0,-1.0,-0.0010418892,-55.52952527999878,1.0,160000,68487.0,83.602294921875
125064,83.2265397035196,0.528933048248291,58.86343311962027,-1.0,-1.0,-1.0,-0.045292675,-60.0,1.0,160000,63624.0,77.666015625
130945,83.21846360591974,0.5287973284721375,58.85561364654331,-1.0,-1.0,-0.55859554,0.32650584,-20.0,1.0,160000,69505.0,84.844970703125
143360,83.21507893450986,0.5287404656410217,58.8523365132874,-1.0,-1.0,-1.0,1.0,-45.08066177368164,1.021742582321167,160000,81920.0,100.0
108015,83.21041960098867,0.5286622047424316,58.84782520454575,-0.7677605,-1.0,-0.19583154,1.0,-40.45629024505615,1.0,160000,46575.0,56.854248046875
76519,83.1998724891076,0.528485119342804,58.83761311768327,-1.0,-1.0,-0.51738787,0.47071406,-55.91464042663574,1.0,160000,15079.0,18.406982421875
104444,83.18605770983315,0.5282533168792725,58.824237051450496,-1.0,-1.0,0.4106807,1.0,-31.09816968441009,1.0,103007,43004.0,52.49511718749999
129503,83.16352926877447,0.5278756618499756,58.802423778808325,-1.0,-1.0,-1.0,0.030990362,-20.0,1.0,112159,68063.0,83.084716796875
83702,83.15173542805016,0.5276781320571899,58.79100420568812,-1.0,-1.0,-0.4582156,0.661065,-60.0,1.0,160000,22262.0,27.17529296875
140151,83.13379596839137,0.5273779034614563,58.77363386955104,-1.0,0.068255484,-1.0,-0.3095531,-56.78996682167053,1.0,160000,78711.0,96.082763671875
108221,83.10205751500754,0.5268474221229553,58.742901807058026,-0.22260505,-1.0,-1.0,-0.5910609,-54.145861864089966,1.0,129107,46781.0,57.10571289062501
100226,83.08391112239218,0.5265445113182068,58.72533052955965,-0.45232534,-1.0,-0.6336079,-0.6580061,-39.532477259635925,1.0,160000,38786.0,47.34619140625
102499,83.07925930997328,0.5264669060707092,58.72082611392337,-1.0,-0.9441054,-1.0,0.22148281,-28.41241717338562,1.0,160000,41059.0,50.12084960937499
123519,83.06509692509118,0.5262307524681091,58.70711239272776,-0.56045526,-0.7735781,-1.0,0.07079446,-53.38956594467163,1.0,84214,62079.0,75.780029296875
