step,reward,score,bonus,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate
1860,15.831485649214763,0.00010373089753556997,0.005186544876778498,-1.0,1.0,-0.74393404,-0.7586447,-27.673869132995605,1.0,160000
1861,9.420083576241847,1.702870662256828e-07,8.51435331128414e-06,-0.40893543,-1.0,0.26713896,-0.24536774,-31.601598262786865,8.151419222354889,160000
1862,8.11306064320015,4.5354770605854355e-08,2.2677385302927178e-06,-0.9274063,1.0,0.6468382,-0.867472,-38.09240907430649,4.593648970127106,160000
1863,20.443711357343304,0.007292473688721657,0.36462368443608284,-0.38167274,0.23840928,-0.13317138,0.08592862,-60.0,1.0,160000
1864,22.953515643682685,0.029522418975830078,1.476120948791504,-1.0,-1.0,-0.81596196,-0.92524314,-30.266324281692505,11.0,160000
1865,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.8584324,-1.0,-1.0,-1.0,-60.0,1.0,84840
1866,27.367231466703124,0.09452289342880249,4.7261446714401245,-1.0,-0.67110777,-0.5474491,-0.18129578,-22.573171854019165,1.0,160000
1867,7.00894070638261,1.436674601507093e-08,7.183373007535465e-07,0.9870991,0.020080447,1.0,-0.40161067,-26.90401315689087,1.0,63645
1868,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,0.2986864,-0.58607346,-0.89138854,-47.10528492927551,4.87939989566803,32000
1869,9.531166264908038,1.9041092969018791e-07,9.520546484509396e-06,-1.0,-0.43214512,-0.44112298,0.4896804,-34.84540581703186,9.259983658790588,160000
1870,20.634884895124486,0.008366968482732773,0.41834842413663864,0.1880418,-1.0,0.5852204,-0.6398003,-20.0,2.3624241948127747,160000
1871,9.711272264471281,2.2818434786131547e-07,1.1409217393065774e-05,-1.0,-0.5105967,-1.0,-0.530802,-60.0,5.708077609539032,114213
1872,21.66433168595529,0.015995539724826813,0.7997769862413406,-0.67789435,-0.22926229,0.120152295,-0.88024664,-31.19774103164673,3.464299201965332,160000
1873,32.974540905413775,0.19244927167892456,9.622463583946228,-1.0,-1.0,-0.74113286,0.26700744,-56.064313650131226,1.0,160000
1874,13.671091508480082,1.2012144907203037e-05,0.0006006072453601519,0.73908794,-1.0,-0.057537496,-0.7557204,-27.144150733947754,5.049725830554962,160000
1875,68.24640699708567,0.8677648305892944,43.38824152946472,-0.84902155,-1.0,-1.0,0.007485509,-55.966094732284546,1.0,95177
1876,5.0563217431265555,1.180572639647437e-09,5.902863198237185e-08,-1.0,0.67264915,1.0,-0.6029855,-44.13744539022446,3.2714078426361084,68935
1877,25.443867656519437,0.06388939172029495,3.1944695860147476,-1.0,-0.007485032,-0.87484837,0.5954641,-37.94680267572403,1.0,92293
1878,10.369250187915446,4.4152366740490834e-07,2.2076183370245417e-05,-0.44275308,-0.72613555,-0.6526892,1.0,-42.40452364087105,3.496970295906067,135780
1879,15.872491155328094,0.00010804955672938377,0.005402477836469188,-0.89987886,-1.0,-1.0,0.89204407,-20.0,5.270369112491608,160000
1880,20.35409911447631,0.006825060583651066,0.3412530291825533,-0.66910064,0.20318258,0.73729193,1.0,-25.330389738082886,1.0,80532
1881,12.45502985817281,3.561143103070208e-06,0.0001780571551535104,0.18263757,-1.0,-1.0,-0.54215896,-60.0,3.698543965816498,160000
1882,9.984832235480214,3.0029295317035576e-07,1.5014647658517788e-05,0.44415367,-1.0,1.0,-0.03970951,-38.95600214600563,1.0,160000
1883,19.907530785680343,0.004825875163078308,0.2412937581539154,-0.7979883,-1.0,-1.0,0.64327574,-60.0,1.0,160000
1884,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,0.7115618,-0.6065217,-1.0,-60.0,2.440896987915039,45640
1885,20.799679269844116,0.009379072114825249,0.46895360574126244,-1.0,-1.0,-0.36330286,0.19278008,-60.0,1.0,151154
1886,34.060500412971884,0.21221327781677246,10.610663890838623,-1.0,-1.0,-1.0,-0.9221935,-20.0,1.0,87607
1887,18.80032180645466,0.0018506620544940233,0.09253310272470117,0.11227399,-1.0,-0.36286423,-0.892926,-44.705117642879486,1.9784874320030212,136218
1888,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-0.38583094,-1.0,-1.0,-20.0,1.0,160000
1889,21.867161240176507,0.01785389520227909,0.8926947601139545,-1.0,-1.0,-1.0,-0.027726978,-52.31199026107788,1.0,160000
1890,30.14092064617325,0.14187464118003845,7.093732059001923,-0.5276816,-1.0,0.4327075,-0.68054014,-20.0,1.0,141399
1891,14.76403749023993,3.579221811378375e-05,0.0017896109056891873,-1.0,-1.0,0.6798423,1.0,-20.0,1.0687417387962341,66523
1892,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,0.113031864,-0.5064536,-1.0,-1.0,-20.0,1.9848931431770325,110834
1893,10.386571340764808,4.4925528186468e-07,2.2462764093234e-05,-0.68128836,-1.0,-0.45407712,-0.85053015,-60.0,3.096472382545471,120732
1894,21.58945597690739,0.01533780712634325,0.7668903563171625,-1.0,-1.0,1.0,0.20791367,-60.0,1.0,146835
1895,17.731622072913645,0.0006741310935467482,0.03370655467733741,0.17311329,-1.0,1.0,0.27371442,-20.0,1.0,160000
1896,24.63082876260035,0.05181722715497017,2.5908613577485085,-1.0,-1.0,-1.0,1.0,-33.57343792915344,1.0,132217
1897,20.626823091058235,0.008319506421685219,0.41597532108426094,-1.0,-0.47879726,-1.0,-0.3000564,-49.356690645217896,1.0,160000
1898,21.939719750744143,0.01854523830115795,0.9272619150578976,-1.0,-1.0,-1.0,-0.11701061,-57.53299355506897,1.0,123067
1899,17.045519481246036,0.0003450789372436702,0.01725394686218351,-1.0,0.2713877,1.0,-0.27772415,-23.21470022201538,1.0,160000
1900,23.030350960585125,0.030444208532571793,1.5222104266285896,-1.0,-0.3174007,-0.44388413,1.0,-31.305166482925415,1.0,160000
1901,11.140032786998667,9.554713642501156e-07,4.777356821250578e-05,-0.20536649,-0.040857315,-1.0,0.12052044,-25.42693853378296,1.0,55339
1902,11.823841847954007,1.8940736481454223e-06,9.470368240727112e-05,0.7641113,-0.8441149,-1.0,-0.3310412,-20.0,6.075756907463074,127749
1903,9.059961832084154,1.1848869263531014e-07,5.924434631765507e-06,-0.2788692,-0.7930127,-0.58706653,0.03545612,-55.368075370788574,2.095350980758667,160000
1904,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,0.9670783,-0.055382013,-1.0,-47.26547420024872,1.0,151709
1905,38.85492794690626,0.30110451579093933,15.055225789546967,-0.5419562,-0.6859516,-0.7835854,-0.15642826,-20.0,1.0,160000
1906,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-0.73510456,-1.0,-1.0,-1.0,-20.0,11.0,77849
1907,5.304770323259596,1.7955701370198085e-09,8.977850685099042e-08,-1.0,-0.36210555,-1.0,-1.0,-23.57942819595337,1.0,74481
1908,8.991759284344965,1.1061099769449356e-07,5.530549884724678e-06,-1.0,1.0,-0.99566257,-0.7282567,-36.8614986538887,3.501600980758667,160000
