step,reward
1348,7.97
1349,9.02
1350,11.96
1351,13.62
1352,5.3
1353,9.07
1354,5.3
1355,5.3
1356,5.3
1357,8.74
1358,8.7
1359,14.8
1360,9.09
1361,14.57
1362,5.3
1363,12.2
1364,12.11
1365,8.68
1366,8.99
1367,8.92
1368,8.55
1369,5.3
1370,11.74
1371,5.3
1372,11.46
1373,8.73
1374,5.3
1375,8.82
1376,5.3
1377,8.61
1378,8.99
1379,5.3
1380,5.3
1381,8.57
1382,5.3
1383,5.3
1384,5.3
1385,10.7
1386,5.3
1387,9.36
1388,5.3
1389,10.37
1390,5.3
1391,5.3
1392,10.7
1393,10.53
1394,10.29
1395,5.3
1396,5.3
1397,9.12
1398,5.3
1399,9.43
1400,5.3
1401,12.44
1402,9.19
1403,9.14
1404,9.81
1405,5.3
1406,5.3
1407,11.17
1408,5.3
1409,12.22
1410,5.3
1411,7.38
1412,5.3
1413,9.28
1414,5.3
1415,8.99
1416,8.56
1417,8.89
1418,11.52
1419,5.3
1420,9.66
1421,9.44
1422,12.64
1423,9.3
1424,9.96
1425,12.09
1426,8.72
1427,9.6
1428,9.16
1429,5.3
1430,8.69
1431,12.64
1432,15.48
1433,5.3
1434,9.55
1435,13.92
1436,5.3
1437,8.66
1438,8.44
1439,8.8
1440,5.3
1441,5.3
1442,9.86
1443,9.36
1444,5.3
1445,5.3
1446,15.04
1447,8.04
1448,9.57
1449,5.3
1450,11.42
1451,14.48
1452,13.64
1453,9.73
1454,5.3
1455,5.3
1456,13.24
1457,12.29
1458,10.3
1459,8.53
1460,10.56
1461,15.17
1462,9.75
1463,9.19
1464,5.3
1465,10.0
1466,8.99
1467,9.38
1468,12.42
1469,8.64
1470,8.69
1471,10.28
1472,5.3
1473,9.45
1474,9.89
1475,13.95
1476,7.71
1477,12.73
1478,5.3
1479,12.81
1480,9.48
1481,13.75
1482,9.41
1483,9.04
1484,5.3
1485,9.51
1486,11.04
1487,14.62
1488,16.46
1489,11.36
1490,13.83
1491,9.6
1492,5.3
1493,6.06
1494,9.37
1495,9.07
1496,9.66
1497,9.91
1498,8.98
1499,11.74
1500,8.38
1501,5.3
1502,11.24
1503,5.3
1504,9.1
1505,8.82
1506,9.54
1507,5.3
1508,9.46
1509,5.3
1510,8.55
1511,5.3
1512,9.04
1513,9.92
1514,5.3
1515,8.9
1516,13.6
1517,8.64
1518,5.3
1519,5.3
1520,5.3
1521,9.68
1522,10.06
1523,8.44
1524,8.79
1525,8.69
1526,6.72
1527,9.32
1528,9.18
1529,8.56
1530,9.5
1531,13.92
1532,9.32
1533,9.87
1534,9.5
1535,5.3
1536,5.3
1537,9.05
1538,10.98
1539,5.3
1540,7.71
1541,12.3
1542,5.3
1543,5.3
1544,9.07
1545,10.5
1546,5.3
1547,7.85
1548,9.19
1549,9.71
1550,13.48
1551,13.99
1552,5.3
1553,8.2
1554,5.3
1555,9.18
1556,5.3
1557,9.61
1558,13.8
1559,13.12
1560,5.3
1561,13.6
1562,13.8
1563,5.3
1564,10.16
1565,10.76
1566,5.3
1567,5.89
1568,8.99
1569,5.3
1570,10.41
1571,7.36
1572,9.36
1573,13.73
1574,5.3
1575,9.82
1576,5.3
1577,9.13
1578,11.59
1579,12.06
1580,5.3
1581,10.17
1582,5.3
1583,10.87
1584,11.07
1585,8.7
1586,8.96
1587,18.08
1588,5.3
1589,10.78
1590,10.98
1591,8.22
1592,13.89
1593,13.88
1594,9.3
1595,11.48
1596,5.3
1597,15.26
1598,7.45
1599,8.06
1600,8.44
1601,9.87
1602,8.79
1603,11.28
1604,12.49
1605,9.64
1606,5.3
1607,5.3
1608,5.3
1609,13.78
1610,8.31
1611,12.36
1612,12.34
1613,11.08
1614,13.39
1615,8.97
1616,9.83
1617,5.3
1618,13.19
1619,5.3
1620,10.85
1621,8.82
1622,12.57
1623,5.3
1624,8.59
1625,5.3
1626,5.3
