step,session_step,session_progress_pct,reward,score,bonus,cluster,dsp_jitter,dsp_shimmer,dsp_tilt,dsp_harmonics,dsp_threshold,dsp_ratio,dsp_bitrate,raw_action_0,raw_action_1,raw_action_2,raw_action_3,raw_action_4,raw_action_5,raw_action_6,conditioned_action_0,conditioned_action_1,conditioned_action_2,conditioned_action_3,conditioned_action_4,conditioned_action_5,conditioned_action_6
327755,75,0.091552734375,17.05470085144043,1.084372485138374e-07,0.0,3,0.18811592,0.9090885,-1.0,1.0,-20.0,1.0,123106,0.35960853,-0.047182024,-1.0,1.0,1.0,-0.35310602,0.8423476,0.64729536,-0.08492764,-1.0,1.0,1.0,-0.63559085,1.0
327756,76,0.0927734375,17.892446517944336,6.097071718613734e-07,0.0,3,0.5408206,1.0,-1.0,1.0,-20.0,1.0,123106,1.0,0.5334311,-1.0,0.2944398,1.0,-1.0,1.0,1.0,0.960176,-1.0,0.5299916,1.0,-1.0,1.0
327757,77,0.093994140625,9.82858657836914,2.5701032413394387e-09,0.0,3,-1.0,0.75139713,-1.0,1.0,-27.72917866706848,6.050853788852692,123106,-1.0,-0.13478833,-1.0,1.0,0.13023719,0.51676154,0.85055804,-1.0,-0.242619,-1.0,1.0,0.23442695,0.9301708,1.0
327758,78,0.09521484375,17.624235153198242,3.4113264746338245e-07,0.0,3,0.5408206,1.0,-1.0,0.0060384274,-20.0,1.0,123106,1.0,0.6889034,-1.0,-0.54733586,0.8234726,-0.3343327,1.0,1.0,1.0,-1.0,-0.9852045,1.0,-0.60179883,1.0
327759,79,0.096435546875,10.749780654907227,6.821591291839013e-09,0.0,3,0.5408206,1.0,-1.0,0.5525954,-24.521288871765137,1.0,118672,1.0,1.0,-1.0,-0.24369311,0.21934527,-1.0,0.51706606,1.0,1.0,-1.0,-0.4386476,0.39482147,-1.0,0.9307189
327760,80,0.09765625,18.109025955200195,9.200664976560802e-07,0.0,3,-0.07108924,1.0,-1.0,0.46552825,-20.0,1.0,123106,0.21560566,0.52786374,-1.0,-0.2920637,0.844375,-1.0,1.0,0.3880902,0.9501547,-1.0,-0.5257147,1.0,-1.0,1.0
327761,81,0.098876953125,19.83278465270996,1.7314659999101423e-05,0.0,0,-1.0,1.0,-1.0,1.0,-40.57778835296631,1.0,160000,-1.0,1.0,-1.0,1.0,-0.39364928,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.7085687,-1.0,1.0
327762,82,0.10009765624999999,18.451995849609375,5.907506874791579e-07,0.0,0,0.5945313,1.0,-1.0,1.0,-20.0,1.0,160000,0.6253826,0.31501693,-0.06342697,1.0,1.0,-1.0,1.0,1.0,0.56703043,-0.11416855,1.0,1.0,-1.0,1.0
327763,83,0.10131835937500001,17.02362823486328,1.0820790663501612e-07,0.0,0,0.5945313,1.0,-1.0,1.0,-20.0,2.3187509775161743,124465,1.0,0.68449455,-1.0,1.0,0.35805285,0.102083445,0.05608827,1.0,1.0,-1.0,1.0,0.6444951,0.1837502,0.100958884
327764,84,0.1025390625,10.885769844055176,9.527809652354335e-08,0.0,0,-1.0,1.0,-1.0,1.0,-20.0,1.0,54003,-0.45148683,1.0,-1.0,1.0,0.29826263,-1.0,-0.88448715,-0.81267625,1.0,-1.0,1.0,0.5368727,-1.0,-1.0
